ID,Diâmetro,Altura,Massa,Res. Mecânica
338,17.33,32.80,8.25,1298
341,17.26,32.80,8.2,1261
299,14.74,27.58,5.1,953
287,13.36,25.03,3.8,806
278,13.12,24.41,3.5,780
283,13.41,22.39,3.4,814
349,13.53,22.93,1.9,314
282,13.38,18.43,2.8,817
348,13.58,18.69,1.5,298
345,13.03,18.03,1.4,295
269,12.55,23.68,1.7,275
296,14.37,26.86,4.6,891
211,13.84,20.58,3.1,746
94,12.57,18.68,2.3,554
186,13.56,26.8,4.0,644
41,12.00,21.0,2.4,538
198,13.55,26.95,4.0,670
36,12.08,23.94,2.7,599
246,14.58,28.9,4.8,658
250,14.72,21.96,3.8,842
